Transaction,Item,,date_time,period_day,Quantity
1,Bread,,30-10-2016 09:58,morning,1
2,Scandinavian,,30-10-2016 10:05,morning,1
2,Scandinavian,,30-10-2016 10:05,morning,1
3,Hot chocolate,,30-10-2016 10:07,morning,1
3,Jam,,30-10-2016 10:07,morning,1
3,Cookies,,30-10-2016 10:07,morning,1
4,Muffin,,30-10-2016 10:08,morning,1
5,Coffee,,30-10-2016 10:13,morning,1
5,Pastry,,30-10-2016 10:13,morning,1
5,Bread,,30-10-2016 10:13,morning,1
6,Medialuna,,30-10-2016 10:16,morning,1
6,Pastry,,30-10-2016 10:16,morning,1
6,Muffin,,30-10-2016 10:16,morning,1
7,Medialuna,,30-10-2016 10:19,morning,1
7,Pastry,,30-10-2016 10:19,morning,1
7,Coffee,,30-10-2016 10:19,morning,1
7,Tea,,30-10-2016 10:19,morning,1
8,Pastry,,30-10-2016 10:20,morning,1
8,Bread,,30-10-2016 10:20,morning,1
9,Bread,,30-10-2016 10:21,morning,1
9,Muffin,,30-10-2016 10:21,morning,1
10,Scandinavian,,30-10-2016 10:25,morning,1
10,Medialuna,,30-10-2016 10:25,morning,1
11,Bread,,30-10-2016 10:27,morning,1
11,Medialuna,,30-10-2016 10:27,morning,1
11,Bread,,30-10-2016 10:27,morning,1
12,Jam,,30-10-2016 10:30,morning,1
12,Coffee,,30-10-2016 10:30,morning,1
12,Tartine,,30-10-2016 10:30,morning,1
12,Pastry,,30-10-2016 10:30,morning,1
12,Tea,,30-10-2016 10:30,morning,1
13,Basket,,30-10-2016 10:31,morning,1
13,Bread,,30-10-2016 10:31,morning,1
13,Coffee,,30-10-2016 10:31,morning,1
14,Bread,,30-10-2016 10:32,morning,1
14,Medialuna,,30-10-2016 10:32,morning,1
14,Pastry,,30-10-2016 10:32,morning,1
15,Mineral water,,30-10-2016 10:34,morning,1
15,Scandinavian,,30-10-2016 10:34,morning,1
16,Bread,,30-10-2016 10:37,morning,1
16,Medialuna,,30-10-2016 10:37,morning,1
16,Coffee,,30-10-2016 10:37,morning,1
17,Hot chocolate,,30-10-2016 10:38,morning,1
18,Farm House,,30-10-2016 10:41,morning,1
19,Farm House,,30-10-2016 10:43,morning,1
19,Bread,,30-10-2016 10:43,morning,1
20,Bread,,30-10-2016 10:45,morning,1
20,Medialuna,,30-10-2016 10:45,morning,1
21,Coffee,,30-10-2016 10:49,morning,1
21,Coffee,,30-10-2016 10:49,morning,1
21,Medialuna,,30-10-2016 10:49,morning,1
